title,date,time,address,description,url,lat,lon
Alles unter dem Himmel. Harmonie in der Familie und im Staat,17.12.2025,10:30 – 		18:30 Uhr,Humboldt Forum - Museum für Asiatische Kunst,"Wie tief greift der Staat in das private Leben ein? Im Fokus der Ausstellung steht das Spannungsverhältnis von Familie und Staat im 20. Jahrhundert in China und Korea – zwischen Ideologie, Fürsorge und Kontrolle.",https://www.visitberlin.de/de/event/alles-unter-dem-himmel-harmonie-der-familie-und-im-staat,52.5172152,13.4007352
Beziehungsweise Familie,03.10.2025,10:30 – 		18:30 Uhr,Humboldt Forum – Sonderausstellungsflächen,Familie: (Fast) jeder Mensch hat eine und jede ist doch anders! Aber was hält uns als Familie zusammen? Und wer hat sich das eigentlich ausgedacht?,https://www.visitberlin.de/de/event/beziehungsweise-familie,52.5172152,13.4007352
Feliciano Lana. Die Geschichte der Weißen,17.12.2025,10:30 – 		18:30 Uhr,Humboldt Forum - Museum für Asiatische Kunst,"Die Aquarelle des 2020 verstorbenen, Indigenen Künstlers Feliciano Lana aus Brasilien beschäftigen sich mit der Geschichte des Kontakts zwischen Indigenen und Weißen am Oberen Rio Negro.",https://www.visitberlin.de/de/event/feliciano-lana-die-geschichte-der-weissen-0,52.5172152,13.4007352
Videopanorama. Geschichte des Ortes,17.12.2025,10:30 – 		18:30 Uhr,Humboldt Forum: Schlüterhof,"Begeben Sie sich im Humboldt Forum in Berlin auf eine visuelle Zeitreise durch acht Jahrhunderte. Eine Collage aus Bildern und Filmen zeigt die Gebäude, die einst hier standen, ihre Nutzungen und wichtige Ereignisse, die hier stattfanden. Sie macht deutlich…",https://www.visitberlin.de/de/event/videopanorama-geschichte-des-ortes,52.5172152,13.4007352
FOREST WINTERLIGHTS 2025,07.11.2025,14:00 Uhr,DARK MATTER,DARK MATTER eröffnet die Wintersaison und feiert in der monumentalen TRANSFORMATOR-Halle eine funkelnde Premiere: Eine Eisbahn verläuft direkt durch die Kunst und schafft eine ungewöhnliche Möglichkeit des Kunstgenusses.,https://www.visitberlin.de/de/event/forest-winterlights-2025,52.4929048,13.4925811
FRIDA & FRIDA Young Show,16.01.2026,16:00 Uhr,Friedrichstadt-Palast,"Seit November 2025 präsentiert der Friedrichstadt-Palast Berlin seine neue Young Show ""Frida & Frida"" – eine fesselnde Geschichte über Selbstvertrauen, Vorstellungskraft und die Überwindung schwieriger Situationen.",https://www.visitberlin.de/de/event/frida-frida-young-show,52.5239216,13.3888786
Christmas Garden Berlin,05.11.2025,16:20 Uhr,Botanischer Garten Berlin / Eingang Königin-Luise-Platz,Lassen Sie sich verzaubern beim diesjährigen Lichtspektakel Christmas Garden im Botanischen Garten Berlin und erleben Sie unvergessliche Momente mit der ganzen Familie.,https://www.visitberlin.de/de/event/christmas-garden-berlin,52.4554846,13.3022697
Weihnachten im Tierpark Berlin,21.11.2025,16:40 Uhr,Tierpark-Eingang Bärenschaufenster,"Erleben Sie den Zauber aus Licht, Musik und Emotionen mit Weihnachten im Tierpark in Berlin. Der eindrucksvolle Tierpark Berlin verwandelt sich dabei in ein märchenhaftes Wunderland. Genießen Sie ein fantastisches Erlebnis mit der ganzen Familie.",https://www.visitberlin.de/de/event/weihnachten-im-tierpark-berlin,52.4977241,13.5229595
#Logoskop achtunddreißig Dichtung und Wissenschaft mit Sven Kamin und Soogi Kang,17.12.2025,18:00 – 		19:30 Uhr,"Humboldt Forum: Humboldt-Labor, 1. OG.","Im „Logoskop“ treffen sich monatlich Poesie und Wissenschaft. Diesmal erkunden Eva Matz und Hinnerk Köhn gemeinsam die Ausstellung Nach der Natur mit live vorgetragenen Texten. Die Besucher*innen sind eingeladen, sie auf ihrem wortgewandten Rundgang zu…",https://www.visitberlin.de/de/event/logoskop-achtunddreissig-dichtung-und-wissenschaft-mit-sven-kamin-und-soogi-kang,52.5172152,13.4007352
Cirque Du Soleil ALIZÉ,16.01.2026,16:00 Uhr,Theater am Potsdamer Platz,Die erste europäische Residenz des Cirque du Soleil wurde exklusiv für das Theater am Potsdamer Platz in Berlin geschaffen. Sie lädt zu einer fantastischen Reise ins Unsichtbare ein. Als spektakuläres Showereignis völlig neuer Art ist Cirque du Soleils ALIZÉ…,https://www.visitberlin.de/de/event/cirque-du-soleil-alize,52.5072208,13.3721193
Der Neurosen-Kavalier,17.12.2025,18:30 Uhr,Schlosspark Theater,Auf der Flucht vor der Polizei ist Kaufhausdieb Felix Bollmann (Daniel Morgenroth) jedes Versteck recht. So landet er in der Praxis eines renommierten Psychiaters und wird prompt für dessen Urlaubsvertretung gehalten.,https://www.visitberlin.de/de/event/der-neurosen-kavalier,52.4548978,13.3175925
AI Democracy,18.12.2025,19:00 Uhr,Hebbel am Ufer - HAU3,"“AI Democracy” verwandelt die Bühne in eine digitale Polis: Polit-Bots, Deepfakes und KI-Wahlkampagnen treffen auf antike Entscheidungsfindungen. Zwischen Perfor­mer:in­nen, Publikum und einem Creative Coder entsteht ein Live-Experiment über Manipulation…",https://www.visitberlin.de/de/event/ai-democracy,52.4999566,13.3871576
Die Zauberflöte,17.12.2025,19:00 Uhr,Staatsoper Unter den Linden,Sie ist die mit Abstand berühmteste Oper Wolfgang Amadeus Mozarts und einer der Klassiker im Repertoire der Staatsoper: August Everdings Inszenierung der Zauberflöte. Einzigartig macht sie die Rekonstruktion der 1816 für die damalige Hofoper Unter den Linden…,https://www.visitberlin.de/de/event/die-zauberfloete-0,52.516703,13.3947383
PALAZZO Berlin - Die Dinner Show im Spiegelpalast | Unikate,08.11.2025,19:00 Uhr,Spiegelpalast Berlin,"Erleben Sie PALAZZO Berlin, die einzigartige Dinner-Show von Kolja Kleeberg & Hans-Peter Wodarz im Spiegelpalast am Bahnhof Zoo, die Spitzengastronomie, atemberaubende Akrobatik, Comedy und Live-Musik auf höchstem Niveau vereint.",https://www.visitberlin.de/de/event/palazzo-berlin-die-dinner-show-im-spiegelpalast-unikate,52.5100608,13.3327722
Kinky Boots - The Musical,17.12.2025,19:30 Uhr,Admiralspalast,Das preisgekrönte Broadway- und West End-Erfolgsmusical KINKY BOOTS erstrahlt in einer brandneuen Produktion und kommt live nach Deutschland!,https://www.visitberlin.de/de/event/kinky-boots-musical,52.5207714,13.3889021
Romeo & Julia - Liebe Ist Alles,17.04.2025,19:30 Uhr,Stage Theater des Westens,"Moderne Pop-Hits treffen auf klassische Arien, ein zauberhaftes Bühnenbild und die ganz großen Gefühle: Romeo & Julia – Liebe ist alles ist zurück.",https://www.visitberlin.de/de/event/romeo-julia-liebe-ist-alles,52.5059047,13.3290059
Ass-Dur - Süßer die Brüder nie klingen,17.12.2025,20:00 Uhr,Tipi am Kanzleramt,"Wenn in Berlin die ersten Lichterketten blinken, die Gänse noch ahnungslos durchs Regierungsviertel watscheln und es überall langsam nach Glühwein und Spekulatius duftet – dann ist es soweit: Ass-Dur feiert Weihnachten. Und zwar so aufregend wie noch nie!",https://www.visitberlin.de/de/event/ass-dur-suesser-die-brueder-nie-klingen,52.5183931,13.3671639
Die Ades Zabel Company: Wenn Ediths Glocken läuten Vol. 22,17.12.2025,20:00 Uhr,BKA Theater,"Edith Schröder, die pralle Prekariats-Prinzessin, die Neuköllner Bezirksbürgermeisterin der Herzen und klebrig-süße Kirsche auf der Chantré-Torte, sorgt mit ihrer üppig ausgestatteten Weihnachtsshow – nunmehr sage und schreibe zum 22. Mal(!) - Jahr für Jahr…",https://www.visitberlin.de/de/event/die-ades-zabel-company-wenn-ediths-glocken-laeuten-vol-22,52.4936405,13.3876998
FLYING LIGHTS,17.12.2025,20:00 Uhr,Wintergarten Varieté,Die weltweit gefeierten Tänzer der Flying Steps Company bringen ab Ende August ihre neue Show – wieder eine Kooperation mit dem Wintergarten Varieté Berlin – auf die Bühne. Bis Februar 2026 wird sie in Europas renommiertestem Varietétheater an der Potsdamer…,https://www.visitberlin.de/de/event/flying-lights,52.5021802,13.364582
Keimzeit,17.12.2025,20:00 Uhr,Kesselhaus,"Mitte der 90er waren Bands wie die Talking Heads, Nirvana oder der legendäre Wu-Tang Clan angesagt. Punk und Grunge regierten, die Hiphop- und Technowelle nahm richtig Anlauf und experimentierfreudige Bands wie Portishead, Faithless oder The Prodigy gingen…",https://www.visitberlin.de/de/event/keimzeit,52.4409095,13.3793229
